Agius et al. 2017. Hawaii Ps receiver functions.
Frequency, 0.05-0.2, Hz
Grid resolution, 1, degree
Minimum number of events, 5
LVL: Depth of negative peak above 410
lat, Lon, Depth peak LVL, Depth peak 410, TZT, Depth peak 660, Amp LVL/Amp 410, Amp LVL, Amp 660
25.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.25,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.50,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34.75,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35.00,-170.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5.00,-169.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN
