Pressure    Depth  Temperature   Density   Basalt       Vs         Vp        Entropy
 (GPa)       (km)     (K)       (g/cm^3)  Fraction    (km/s)     (km/s)     (J/(g.K))
 17.00     497.37    1500.00     3.83885   0.000     5.35084     9.79451     2.22416
 17.10     500.00    1500.00     3.84090   0.000     5.35423     9.80170     2.22338
 17.20     502.50    1500.00     3.84294   0.000     5.35756     9.80882     2.22260
 17.30     505.00    1500.00     3.84496   0.000     5.36082     9.81586     2.22184
 17.40     507.50    1500.00     3.84698   0.000     5.36402     9.82283     2.22108
 17.50     510.00    1500.00     3.84898   0.000     5.36717     9.82973     2.22033
 17.60     512.50    1500.00     3.85097   0.000     5.37025     9.83656     2.21959
 17.70     515.00    1500.00     3.85295   0.000     5.37329     9.84334     2.21886
 17.80     517.50    1500.00     3.85492   0.000     5.37627     9.85005     2.21813
 17.90     520.00    1500.00     3.85688   0.000     5.37921     9.85671     2.21741
 18.00     522.50    1500.00     3.85883   0.000     5.38210     9.86331     2.21670
 18.10     525.00    1500.00     3.86078   0.000     5.38494     9.86986     2.21600
 18.20     527.50    1500.00     3.86271   0.000     5.38775     9.87636     2.21530
 18.30     530.00    1500.00     3.86464   0.000     5.39053     9.88283     2.21460
 18.40     532.50    1500.00     3.88459   0.000     5.44358     9.96022     2.20976
 18.50     535.00    1500.00     3.90806   0.000     5.50462    10.04785     2.20333
 18.60     537.50    1500.00     3.94017   0.000     5.58732    10.16439     2.19373
 18.70     540.00    1500.00     3.94302   0.000     5.59268    10.17421     2.19278
 18.80     542.50    1500.00     3.94539   0.000     5.59653    10.18187     2.19212
 18.90     545.00    1500.00     3.94778   0.000     5.60034    10.18949     2.19148
 19.00     547.50    1500.00     3.95012   0.000     5.60397    10.19689     2.19086
 19.10     550.00    1500.00     3.95240   0.000     5.60744    10.20410     2.19024
 19.20     552.63    1500.00     3.95463   0.000     5.61076    10.21113     2.18964
 19.30     555.26    1500.00     3.95682   0.000     5.61395    10.21800     2.18904
 19.40     557.90    1500.00     3.95898   0.000     5.61701    10.22473     2.18846
 19.50     560.53    1500.00     3.96110   0.000     5.61996    10.23132     2.18788
 19.60     563.16    1500.00     3.96319   0.000     5.62281    10.23779     2.18731
 19.70     565.79    1500.00     3.96524   0.000     5.62558    10.24414     2.18675
 19.80     568.42    1500.00     3.96728   0.000     5.62825    10.25040     2.18620
 19.90     571.05    1500.00     3.96928   0.000     5.63085    10.25656     2.18565
 20.00     573.68    1500.00     3.97126   0.000     5.63337    10.26263     2.18510
 20.10     576.32    1500.00     3.97323   0.000     5.63583    10.26861     2.18457
 20.20     578.95    1500.00     3.97517   0.000     5.63823    10.27453     2.18403
 20.30     581.58    1500.00     3.97709   0.000     5.64057    10.28037     2.18351
 20.40     584.21    1500.00     3.97900   0.000     5.64286    10.28614     2.18298
 20.50     586.84    1500.00     3.98089   0.000     5.64510    10.29186     2.18246
